"Ticker","Maturity","Type","Long Strike","Long Bid","Short Strike","Short Ask","Difference","Profit","Cost"

"GIS","12/20/19","Call","45.0","8.2","47.5","4.8","250.0","340.0","-0.2647058823529411764705882353"
"GIS","12/20/19","Call","47.5","5.5","50.0","3.05","250.0","245.00","0.0204081632653061224489795918"
"GIS","12/20/19","Call","50.0","3.2","52.5","1.36","250.0","184.00","0.3586956521739130434782608696"
"GIS","12/20/19","Call","52.5","1.51","55.0","0.41","250.0","110.00","1.2727272727272727272727272727"
"GIS","12/20/19","Call","55.0","0.45","57.5","0.09","250.0","36.00","5.9444444444444444444444444444"
"GIS","12/20/19","Call","57.5","0.17","62.5","0.0","500.0","17.00","28.411764705882352941176470588"

"GIS","12/20/19","Put","47.5","0.2","45.0","0.05","250.0","15.00","15.666666666666666666666666667"
"GIS","12/20/19","Put","50.0","0.51","47.5","0.17","250.0","34.00","6.3529411764705882352941176471"
"GIS","12/20/19","Put","52.5","1.32","50.0","0.48","250.0","84.00","1.9761904761904761904761904762"
"GIS","12/20/19","Put","55.0","2.9","52.5","1.22","250.0","168.00","0.4880952380952380952380952381"
"GIS","12/20/19","Put","57.5","5.65","55.0","2.74","250.0","291.00","-0.1408934707903780068728522337"
"GIS","12/20/19","Put","62.5","10.4","57.5","5.35","500.0","505.00","-0.0099009900990099009900990099"

"GIS","01/17/20","Call","20.0","32.7","22.5","30.85","250.0","185.00","0.3513513513513513513513513514"
"GIS","01/17/20","Call","22.5","32.3","25.0","27.5","250.0","480.0","-0.4791666666666666666666666667"
"GIS","01/17/20","Call","25.0","27.75","27.5","26.6","250.0","115.00","1.1739130434782608695652173913"
"GIS","01/17/20","Call","27.5","27.1","30.0","22.5","250.0","460.0","-0.4565217391304347826086956522"
"GIS","01/17/20","Call","30.0","22.75","32.5","20.0","250.0","275.00","-0.0909090909090909090909090909"
"GIS","01/17/20","Call","32.5","20.3","35.0","17.55","250.0","275.00","-0.0909090909090909090909090909"
"GIS","01/17/20","Call","35.0","17.8","37.5","15.05","250.0","275.00","-0.0909090909090909090909090909"
"GIS","01/17/20","Call","37.5","15.3","40.0","12.55","250.0","275.00","-0.0909090909090909090909090909"
"GIS","01/17/20","Call","40.0","12.85","42.5","10.05","250.0","280.00","-0.1071428571428571428571428571"
"GIS","01/17/20","Call","42.5","10.4","45.0","7.65","250.0","275.00","-0.0909090909090909090909090909"
"GIS","01/17/20","Call","45.0","7.9","47.5","5.35","250.0","255.00","-0.0196078431372549019607843137"
"GIS","01/17/20","Call","47.5","5.55","50.0","3.3","250.0","225.00","0.1111111111111111111111111111"
"GIS","01/17/20","Call","50.0","3.45","52.5","1.66","250.0","179.00","0.3966480446927374301675977654"
"GIS","01/17/20","Call","52.5","1.76","55.0","0.64","250.0","112.00","1.2321428571428571428571428571"
"GIS","01/17/20","Call","55.0","0.69","57.5","0.19","250.0","50.00","4"
"GIS","01/17/20","Call","57.5","0.22","60.0","0.0","250.0","22.00","10.363636363636363636363636364"
"GIS","01/17/20","Call","60.0","0.07","62.5","0.0","250.0","7.00","34.714285714285714285714285714"
"GIS","01/17/20","Call","62.5","0.08","65.0","0.0","250.0","8.00","30.25"
"GIS","01/17/20","Call","65.0","0.0","70.0","0.0","500.0","0.0","0"
"GIS","01/17/20","Call","70.0","0.07","75.0","0.0","500.0","7.00","70.428571428571428571428571429"
"GIS","01/17/20","Call","75.0","0.04","80.0","0.0","500.0","4.00","124"

"GIS","01/17/20","Put","22.5","0.03","20.0","0.0","250.0","3.00","82.33333333333333333333333333"
"GIS","01/17/20","Put","25.0","0.03","22.5","0.0","250.0","3.00","82.33333333333333333333333333"
"GIS","01/17/20","Put","27.5","0.08","25.0","0.0","250.0","8.00","30.25"
"GIS","01/17/20","Put","30.0","0.08","27.5","0.0","250.0","8.00","30.25"
"GIS","01/17/20","Put","32.5","0.0","30.0","0.0","250.0","0.0","0"
"GIS","01/17/20","Put","35.0","0.0","32.5","0.0","250.0","0.0","0"
"GIS","01/17/20","Put","37.5","0.12","35.0","0.0","250.0","12.00","19.833333333333333333333333333"
"GIS","01/17/20","Put","40.0","0.0","37.5","0.0","250.0","0.0","0"
"GIS","01/17/20","Put","42.5","0.13","40.0","0.0","250.0","13.00","18.230769230769230769230769231"
"GIS","01/17/20","Put","45.0","0.11","42.5","0.0","250.0","11.00","21.727272727272727272727272727"
"GIS","01/17/20","Put","47.5","0.2","45.0","0.05","250.0","15.00","15.666666666666666666666666667"
"GIS","01/17/20","Put","50.0","0.51","47.5","0.17","250.0","34.00","6.3529411764705882352941176471"
"GIS","01/17/20","Put","52.5","1.32","50.0","0.48","250.0","84.00","1.9761904761904761904761904762"
"GIS","01/17/20","Put","55.0","2.9","52.5","1.22","250.0","168.00","0.4880952380952380952380952381"
"GIS","01/17/20","Put","57.5","5.65","55.0","2.74","250.0","291.00","-0.1408934707903780068728522337"
"GIS","01/17/20","Put","60.0","7.95","57.5","5.35","250.0","260.00","-0.0384615384615384615384615385"
"GIS","01/17/20","Put","62.5","10.4","60.0","7.7","250.0","270.0","-0.0740740740740740740740740741"
"GIS","01/17/20","Put","65.0","12.9","62.5","10.15","250.0","275.00","-0.0909090909090909090909090909"
"GIS","01/17/20","Put","70.0","16.85","65.0","12.6","500.0","425.00","0.1764705882352941176470588235"
"GIS","01/17/20","Put","75.0","21.8","70.0","16.1","500.0","570.0","-0.1228070175438596491228070175"
"GIS","01/17/20","Put","80.0","27.85","75.0","21.1","500.0","675.00","-0.2592592592592592592592592593"

"GIS","04/17/20","Call","32.5","20.3","40.0","12.75","750.0","755.00","-0.0066225165562913907284768212"
"GIS","04/17/20","Call","40.0","13.15","42.5","10.25","250.0","290.00","-0.1379310344827586206896551724"
"GIS","04/17/20","Call","42.5","10.6","45.0","7.95","250.0","265.00","-0.0566037735849056603773584906"
"GIS","04/17/20","Call","45.0","8.35","47.5","5.9","250.0","245.00","0.0204081632653061224489795918"
"GIS","04/17/20","Call","47.5","6.15","50.0","4.15","250.0","200.00","0.25"
"GIS","04/17/20","Call","50.0","4.35","52.5","2.64","250.0","171.00","0.4619883040935672514619883041"
"GIS","04/17/20","Call","52.5","2.82","55.0","1.56","250.0","126.00","0.9841269841269841269841269841"
"GIS","04/17/20","Call","55.0","1.72","57.5","0.81","250.0","91.00","1.7472527472527472527472527473"
"GIS","04/17/20","Call","57.5","0.9","60.0","0.37","250.0","53.00","3.7169811320754716981132075472"
"GIS","04/17/20","Call","60.0","0.45","62.5","0.16","250.0","29.00","7.6206896551724137931034482759"
"GIS","04/17/20","Call","62.5","0.2","65.0","0.0","250.0","20.0","11.5"
"GIS","04/17/20","Call","65.0","0.0","70.0","0.0","500.0","0.0","0"

"GIS","04/17/20","Put","40.0","0.0","32.5","0.0","750.0","0.0","0"
"GIS","04/17/20","Put","42.5","0.13","40.0","0.0","250.0","13.00","18.230769230769230769230769231"
"GIS","04/17/20","Put","45.0","0.11","42.5","0.0","250.0","11.00","21.727272727272727272727272727"
"GIS","04/17/20","Put","47.5","0.2","45.0","0.05","250.0","15.00","15.666666666666666666666666667"
"GIS","04/17/20","Put","50.0","0.51","47.5","0.17","250.0","34.00","6.3529411764705882352941176471"
"GIS","04/17/20","Put","52.5","1.32","50.0","0.48","250.0","84.00","1.9761904761904761904761904762"
"GIS","04/17/20","Put","55.0","2.9","52.5","1.22","250.0","168.00","0.4880952380952380952380952381"
"GIS","04/17/20","Put","57.5","5.65","55.0","2.74","250.0","291.00","-0.1408934707903780068728522337"
"GIS","04/17/20","Put","60.0","7.95","57.5","5.35","250.0","260.00","-0.0384615384615384615384615385"
"GIS","04/17/20","Put","62.5","10.4","60.0","7.7","250.0","270.0","-0.0740740740740740740740740741"
"GIS","04/17/20","Put","65.0","12.9","62.5","10.15","250.0","275.00","-0.0909090909090909090909090909"
"GIS","04/17/20","Put","70.0","16.85","65.0","12.6","500.0","425.00","0.1764705882352941176470588235"

"GIS","01/15/21","Call","20.0","33.75","22.5","30.9","250.0","285.00","-0.1228070175438596491228070175"
"GIS","01/15/21","Call","22.5","31.45","25.0","27.7","250.0","375.00","-0.3333333333333333333333333333"
"GIS","01/15/21","Call","25.0","28.2","27.5","25.8","250.0","240.0","0.0416666666666666666666666667"
"GIS","01/15/21","Call","27.5","27.1","30.0","23.25","250.0","385.00","-0.3506493506493506493506493506"
"GIS","01/15/21","Call","30.0","23.55","32.5","20.0","250.0","355.00","-0.295774647887323943661971831"
"GIS","01/15/21","Call","32.5","20.45","35.0","19.4","250.0","105.00","1.380952380952380952380952381"
"GIS","01/15/21","Call","35.0","20.05","37.5","15.25","250.0","480.00","-0.4791666666666666666666666667"
"GIS","01/15/21","Call","37.5","15.7","40.0","12.95","250.0","275.00","-0.0909090909090909090909090909"
"GIS","01/15/21","Call","40.0","13.4","42.5","10.9","250.0","250.0","0"
"GIS","01/15/21","Call","42.5","11.25","45.0","9.05","250.0","220.00","0.1363636363636363636363636364"
"GIS","01/15/21","Call","45.0","9.3","47.5","7.25","250.0","205.00","0.219512195121951219512195122"
"GIS","01/15/21","Call","47.5","7.6","50.0","5.65","250.0","195.00","0.2820512820512820512820512821"
"GIS","01/15/21","Call","50.0","6.1","52.5","4.55","250.0","155.00","0.6129032258064516129032258065"
"GIS","01/15/21","Call","52.5","4.75","55.0","3.4","250.0","135.00","0.8518518518518518518518518519"
"GIS","01/15/21","Call","55.0","3.65","57.5","2.46","250.0","119.00","1.100840336134453781512605042"
"GIS","01/15/21","Call","57.5","2.78","60.0","1.63","250.0","115.00","1.1739130434782608695652173913"
"GIS","01/15/21","Call","60.0","2.09","62.5","1.01","250.0","108.00","1.3148148148148148148148148148"
"GIS","01/15/21","Call","62.5","1.39","65.0","0.79","250.0","60.00","3.1666666666666666666666666667"
"GIS","01/15/21","Call","65.0","0.96","70.0","0.32","500.0","64.00","6.8125"

"GIS","01/15/21","Put","22.5","0.03","20.0","0.0","250.0","3.00","82.33333333333333333333333333"
"GIS","01/15/21","Put","25.0","0.03","22.5","0.0","250.0","3.00","82.33333333333333333333333333"
"GIS","01/15/21","Put","27.5","0.08","25.0","0.0","250.0","8.00","30.25"
"GIS","01/15/21","Put","30.0","0.08","27.5","0.0","250.0","8.00","30.25"
"GIS","01/15/21","Put","32.5","0.0","30.0","0.0","250.0","0.0","0"
"GIS","01/15/21","Put","35.0","0.0","32.5","0.0","250.0","0.0","0"
"GIS","01/15/21","Put","37.5","0.12","35.0","0.0","250.0","12.00","19.833333333333333333333333333"
"GIS","01/15/21","Put","40.0","0.0","37.5","0.0","250.0","0.0","0"
"GIS","01/15/21","Put","42.5","0.13","40.0","0.0","250.0","13.00","18.230769230769230769230769231"
"GIS","01/15/21","Put","45.0","0.11","42.5","0.0","250.0","11.00","21.727272727272727272727272727"
"GIS","01/15/21","Put","47.5","0.2","45.0","0.05","250.0","15.00","15.666666666666666666666666667"
"GIS","01/15/21","Put","50.0","0.51","47.5","0.17","250.0","34.00","6.3529411764705882352941176471"
"GIS","01/15/21","Put","52.5","1.32","50.0","0.48","250.0","84.00","1.9761904761904761904761904762"
"GIS","01/15/21","Put","55.0","2.9","52.5","1.22","250.0","168.00","0.4880952380952380952380952381"
"GIS","01/15/21","Put","57.5","5.65","55.0","2.74","250.0","291.00","-0.1408934707903780068728522337"
"GIS","01/15/21","Put","60.0","7.95","57.5","5.35","250.0","260.00","-0.0384615384615384615384615385"
"GIS","01/15/21","Put","62.5","10.4","60.0","7.7","250.0","270.0","-0.0740740740740740740740740741"
"GIS","01/15/21","Put","65.0","12.9","62.5","10.15","250.0","275.00","-0.0909090909090909090909090909"
"GIS","01/15/21","Put","70.0","16.85","65.0","12.6","500.0","425.00","0.1764705882352941176470588235"

"GIS","01/21/22","Call","40.0","13.9","45.0","9.55","500.0","435.00","0.1494252873563218390804597701"
"GIS","01/21/22","Call","45.0","10.55","47.5","8.0","250.0","255.00","-0.0196078431372549019607843137"
"GIS","01/21/22","Call","47.5","9.1","50.0","6.3","250.0","280.0","-0.1071428571428571428571428571"
"GIS","01/21/22","Call","50.0","7.8","52.5","5.1","250.0","270.0","-0.0740740740740740740740740741"
"GIS","01/21/22","Call","52.5","6.25","55.0","4.0","250.0","225.00","0.1111111111111111111111111111"
"GIS","01/21/22","Call","55.0","5.6","60.0","2.44","500.0","316.00","0.5822784810126582278481012658"
"GIS","01/21/22","Call","60.0","3.35","62.5","1.35","250.0","200.00","0.25"
"GIS","01/21/22","Call","62.5","2.56","65.0","1.35","250.0","121.00","1.0661157024793388429752066116"
"GIS","01/21/22","Call","65.0","2.32","70.0","0.72","500.0","160.00","2.125"
"GIS","01/21/22","Call","70.0","1.47","75.0","0.11","500.0","136.00","2.6764705882352941176470588235"

"GIS","01/21/22","Put","45.0","0.11","40.0","0.0","500.0","11.00","44.454545454545454545454545455"
"GIS","01/21/22","Put","47.5","0.2","45.0","0.05","250.0","15.00","15.666666666666666666666666667"
"GIS","01/21/22","Put","50.0","0.51","47.5","0.17","250.0","34.00","6.3529411764705882352941176471"
"GIS","01/21/22","Put","52.5","1.32","50.0","0.48","250.0","84.00","1.9761904761904761904761904762"
"GIS","01/21/22","Put","55.0","2.9","52.5","1.22","250.0","168.00","0.4880952380952380952380952381"
"GIS","01/21/22","Put","60.0","7.95","55.0","2.74","500.0","521.00","-0.0403071017274472168905950096"
"GIS","01/21/22","Put","62.5","10.4","60.0","7.7","250.0","270.0","-0.0740740740740740740740740741"
"GIS","01/21/22","Put","65.0","12.9","62.5","10.15","250.0","275.00","-0.0909090909090909090909090909"
"GIS","01/21/22","Put","70.0","16.85","65.0","12.6","500.0","425.00","0.1764705882352941176470588235"
"GIS","01/21/22","Put","75.0","21.8","70.0","16.1","500.0","570.0","-0.1228070175438596491228070175"